标签	含义	频数
Q4	The Media	3
Q4.1	The Media: Books	2
Q4.2	The Media: Newspapers etc.	3
Q4.3	The Media: TV, Radio and Cinema	10
S1	Social Actions, States And Processes	0
S1.1	Social Actions, States And Processes	0
S1.1.1	Social Actions, States And Processes	42
S1.1.2	Reciprocity	0
S1.1.2+	Reciprocal	15
S1.1.2-	Unilateral	0
S1.1.3	Participation	0
S1.1.3+	Participating	11
S1.1.3-	Non-participating	0
S1.1.4	Deserve	0
S1.1.4+	Deserving	0
S1.1.4-	Undeserving	0
S1.2	Personality traits	3
S1.2.1	Approachability and Friendliness	0
S1.2.1+	Informal/Friendly	2
S1.2.1-	Formal/Unfriendly	0
S1.2.2	Avarice	0
S1.2.2+	Greedy	0
S1.2.2-	Generous	0
S1.2.3	Egoism	0
S1.2.3+	Selfish	0
S1.2.3-	Unselfish	1
S1.2.4	Politeness	0
S1.2.4+	Polite	4
S1.2.4-	Impolite	0
S1.2.5	Toughness; strong/weak	0
S1.2.5+	Tough/strong	16
S1.2.5-	Weak	6
S1.2.6	Common sense	0
S1.2.6+	Sensible	3
S1.2.6-	Foolish	0
S2	People	56
S2-	No people	0
S2.1	People: Female	0
S2.1-	Not feminine	0
S2.2	People: Male	0
S3	Relationship	0
S3.1	Personal relationship: General	9
S3.1-	No personal relationship	0
S3.2	Relationship: Intimacy and sex	0
S3.2+	Relationship: Sexual	0
S3.2-	Relationship: Asexual	0
S4	Kin	1
S4-	No kin	0
S5	Groups and affiliation	0
S5+	Belonging to a group	23
S5-	Not part of a group	1
S6	Obligation and necessity	0
S6+	Strong obligation or necessity	40
S6-	No obligation or necessity	6
S7	Power relationship	0
S7.1	Power, organizing	1
S7.1+	In power	124
S7.1-	No power	1
S7.2	Respect	0
S7.2+	Respected	12
S7.2-	No respect	0
S7.3	Competition	0
S7.3+	Competitive	5
S7.3-	No competition	0
S7.4	Permission	0
S7.4+	Allowed	24
S7.4-	Not allowed	0
S8	Helping/hindering	0
S8+	Helping	151
S8-	Hindering	8
S9	Religion and the supernatural	5
S9-	Non-religious	0
T1	Time	10
T1.1	Time: General	1
T1.1.1	Time: Past	8
T1.1.2	Time: Present; simultaneous	21
T1.1.2-	Time: Asynchronous	0
T1.1.3	Time: Future	7
T1.2	Time: Momentary	0
T1.3	Time: Period	87
T1.3+	Time period: long	0
T1.3-	Time period: short	0
T2	Time: Beginning and ending	0
T2+	Time: Beginning	38
T2-	Time: Ending	3
T3	Time: Old, new and young; age	2
T3+	Time: Old; grown-up	7
T3-	Time: New and young	143
T4	Time: Early/late	0
T4+	Time: Early	2
T4-	Time: Late	8
W1	The universe	2
W2	Light	1
W2-	Darkness	0
W3	Geographical terms	53
W4	Weather	4
W5	Green issues	34
X1	Psychological Actions, States And Processes	0
X2	Mental actions and processes	6
X2.1	Thought, belief	21
X2.1-	Without thinking	0
X2.2	Knowledge	0
X2.2+	Knowledgeable	23
X2.2-	No knowledge	4
X2.3	Learn	0
X2.3+	Learning	0
X2.4	Investigate, examine, test, search	13
X2.4+	Double-check	0
X2.4-	Not examined	0
X2.5	Understand	0
X2.5+	Understanding	1
X2.5-	Not understanding	1
X2.6	Expect	0
X2.6+	Expected	2
X2.6-	Unexpected	0
X3	Sensory	0
X3.1	Sensory: Taste	1
X3.1+	Tasty	0
X3.1-	Not tasty	0
X3.2	Sensory: Sound	1
X3.2+	Sound: Loud	0
X3.2-	Sound: Quiet	0
X3.3	Sensory: Touch	2
X3.4	Sensory: Sight	6
X3.4+	Seen	0
X3.4-	Unseen	1
X3.5	Sensory: Smell	0
X3.5-	No smell	0
X4	Mental object	0
X4.1	Mental object: Conceptual object	24
X4.1-	Themeless	0
X4.2	Mental object: Means, method	74
X5	Attention	0
X5.1	Attention	0
X5.1+	Attentive	3
X5.1-	Inattentive	0
X5.2	Interest/boredom/excited/energetic	0
X5.2+	Interested/excited/energetic	41
X5.2-	Uninterested/bored/unenergetic	0
X6	Deciding	0
X6+	Decided	6
X6-	Undecided	0
X7	Wanting; planning; choosing	0
X7+	Wanted	71
X7-	Unwanted	0
X8	Trying	0
X8+	Trying hard	33
X8-	Not trying	0
X9	Ability	0
X9.1	Ability and intelligence	4
X9.1+	Able/intelligent	7
X9.1-	Inability/unintelligence	0
X9.2	Success and failure	0
X9.2+	Success	24
X9.2-	Failure	0
Y1	Science and technology in general	33
Y1-	Anti-scientific	0
Y2	Information technology and computing	6
Y2-	Low-tech	0
Z0	Unmatched proper noun	0
Z1	Personal names	0
Z2	Geographical names	57
Z3	Other proper names	0
Z4	Discourse Bin	0
Z5	Grammatical bin	5509
Z6	Negative	16
Z7	If	0
Z7-	Unconditional	0
Z8	Pronouns	3951
Z9	Trash can	0
Z99	Unmatched	0
