单词		词频		占比
relever		1		0.05678591709256105%
défi		1		0.05678591709256105%
donné		1		0.05678591709256105%
ainsi		1		0.05678591709256105%
bel		1		0.05678591709256105%
exemple		1		0.05678591709256105%
jusqu’		1		0.05678591709256105%
envoyé		1		0.05678591709256105%
experts		1		0.05678591709256105%
équipes		1		0.05678591709256105%
médicales		1		0.05678591709256105%
16		1		0.05678591709256105%
partager		1		0.05678591709256105%
créé		1		0.05678591709256105%
partenariats		1		0.05678591709256105%
46		1		0.05678591709256105%
hôpitaux		1		0.05678591709256105%
42		1		0.05678591709256105%
fourni		1		0.05678591709256105%
nécessité		1		0.05678591709256105%
presque		1		0.05678591709256105%
année		1		0.05678591709256105%
inaugurerons		1		0.05678591709256105%
travaux		1		0.05678591709256105%
siège		1		0.05678591709256105%
cdc		1		0.05678591709256105%
africain		1		0.05678591709256105%
préserver		1		0.05678591709256105%
travaillé		1		0.05678591709256105%
honorer		1		0.05678591709256105%
engagement		1		0.05678591709256105%
fournir		1		0.05678591709256105%
montant		1		0.05678591709256105%
total		1		0.05678591709256105%
millions		1		0.05678591709256105%
dollars		1		0.05678591709256105%
us		1		0.05678591709256105%
conjointe		1		0.05678591709256105%
g5		1		0.05678591709256105%
sahel		1		0.05678591709256105%
travers		1		0.05678591709256105%
multilatéral		1		0.05678591709256105%
bilatéral		1		0.05678591709256105%
heure		1		0.05678591709256105%
actuelle		1		0.05678591709256105%
2		1		0.05678591709256105%
casques		1		0.05678591709256105%
bleus		1		0.05678591709256105%
chinois		1		0.05678591709256105%
mission		1		0.05678591709256105%
six		1		0.05678591709256105%
opérations		1		0.05678591709256105%
onusiennes		1		0.05678591709256105%
cœur		1		0.05678591709256105%
contribué		1		0.05678591709256105%
élaboré		1		0.05678591709256105%
dix		1		0.05678591709256105%
programmes		1		0.05678591709256105%
initiatives		1		0.05678591709256105%
aidé		1		0.05678591709256105%
chemins		1		0.05678591709256105%
fer		1		0.05678591709256105%
routes		1		0.05678591709256105%
près		1		0.05678591709256105%
20		1		0.05678591709256105%
ports		1		0.05678591709256105%
80		1		0.05678591709256105%
grandes		1		0.05678591709256105%
installations		1		0.05678591709256105%
production		1		0.05678591709256105%
électricité		1		0.05678591709256105%
12		1		0.05678591709256105%
accords		1		0.05678591709256105%
suspension		1		0.05678591709256105%
service		1		0.05678591709256105%
annulé		1		0.05678591709256105%
prêts		1		0.05678591709256105%
intérêt		1		0.05678591709256105%
arrivant		1		0.05678591709256105%
échéance		1		0.05678591709256105%
15		1		0.05678591709256105%
entend		1		0.05678591709256105%
élargir		1		0.05678591709256105%
numérique		1		0.05678591709256105%
ville		1		0.05678591709256105%
intelligente		1		0.05678591709256105%
énergie		1		0.05678591709256105%
propre		1		0.05678591709256105%
5		1		0.05678591709256105%
g		1		0.05678591709256105%
nouvelles		1		0.05678591709256105%
formes		1		0.05678591709256105%
qualité		1		0.05678591709256105%
ceinture		1		0.05678591709256105%
route		1		0.05678591709256105%
continuera		1		0.05678591709256105%
agissant		1		0.05678591709256105%
accompagner		1		0.05678591709256105%
modernisation		1		0.05678591709256105%
défendre		1		0.05678591709256105%
justes		1		0.05678591709256105%
causes		1		0.05678591709256105%
enceintes		1		0.05678591709256105%
entendons		1		0.05678591709256105%
avancer		1		0.05678591709256105%
partagé		1		0.05678591709256105%
encore		1		0.05678591709256105%
solide		1		0.05678591709256105%
je		1		0.05678591709256105%
vous		1		0.05678591709256105%
remercie		1		0.05678591709256105%
