单词		词频		占比
collectif		2		0.1142204454597373%
recherche		2		0.1142204454597373%
égoïste		2		0.1142204454597373%
climatique		2		0.1142204454597373%
parcourir		2		0.1142204454597373%
beaucoup		2		0.1142204454597373%
stratégique		2		0.1142204454597373%
égal		2		0.1142204454597373%
domaine		2		0.1142204454597373%
rapidement		2		0.1142204454597373%
conclure		2		0.1142204454597373%
vert		2		0.1142204454597373%
sino-européenn		2		0.1142204454597373%
approfondir		2		0.1142204454597373%
SOLIDARITÉ		1		0.05711022272986865%
inclusion		1		0.05711022272986865%
Discours		1		0.05711022272986865%
Institut		1		0.05711022272986865%
français		1		0.05711022272986865%
m.		1		0.05711022272986865%
Wang		1		0.05711022272986865%
Yi		1		0.05711022272986865%
conseiller		1		0.05711022272986865%
ministre		1		0.05711022272986865%
république		1		0.05711022272986865%
populaire		1		0.05711022272986865%
Paris		1		0.05711022272986865%
août		1		0.05711022272986865%
Monsieur		1		0.05711022272986865%
distinguer		1		0.05711022272986865%
invité		1		0.05711022272986865%
plaisir		1		0.05711022272986865%
revenir		1		0.05711022272986865%
frapper		1		0.05711022272986865%
survenir		1		0.05711022272986865%
soudaineté		1		0.05711022272986865%
épreuve		1		0.05711022272986865%
miroir		1		0.05711022272986865%
refléter		1		0.05711022272986865%
complexité		1		0.05711022272986865%
vivre		1		0.05711022272986865%
rejet		1		0.05711022272986865%
responsabilité		1		0.05711022272986865%
effroyable		1		0.05711022272986865%
coronavirus		1		0.05711022272986865%
générer		1		0.05711022272986865%
pratique		1		0.05711022272986865%
politisation		1		0.05711022272986865%
étiquetage		1		0.05711022272986865%
stigmatisation		1		0.05711022272986865%
égard		1		0.05711022272986865%
aider		1		0.05711022272986865%
résoudre		1		0.05711022272986865%
problème		1		0.05711022272986865%
saper		1		0.05711022272986865%
gravement		1		0.05711022272986865%
ancien		1		0.05711022272986865%
national		1		0.05711022272986865%
rêve		1		0.05711022272986865%
noble		1		0.05711022272986865%
gloire		1		0.05711022272986865%
comprendre		1		0.05711022272986865%
subir		1		0.05711022272986865%
adversité		1		0.05711022272986865%
aspire		1		0.05711022272986865%
profondément		1		0.05711022272986865%
bonheur		1		0.05711022272986865%
refaire		1		0.05711022272986865%
pionnier		1		0.05711022272986865%
inaugurer		1		0.05711022272986865%
ère		1		0.05711022272986865%
intégration		1		0.05711022272986865%
dire		1		0.05711022272986865%
cherche		1		0.05711022272986865%
changer		1		0.05711022272986865%
voire		1		0.05711022272986865%
conquérir		1		0.05711022272986865%
ignorance		1		0.05711022272986865%
agression		1		0.05711022272986865%
gène		1		0.05711022272986865%
rechercher		1		0.05711022272986865%
dictionnaire		1		0.05711022272986865%
primauté		1		0.05711022272986865%
respectueux		1		0.05711022272986865%
idéal		1		0.05711022272986865%
attacher		1		0.05711022272986865%
concorde		1		0.05711022272986865%
applique		1		0.05711022272986865%
quête		1		0.05711022272986865%
enraciner		1		0.05711022272986865%
conviction		1		0.05711022272986865%
origine		1		0.05711022272986865%
culturel		1		0.05711022272986865%
actuel		1		0.05711022272986865%
rare		1		0.05711022272986865%
cesser		1		0.05711022272986865%
transformation		1		0.05711022272986865%
créatif		1		0.05711022272986865%
innovant		1		0.05711022272986865%
conduite		1		0.05711022272986865%
parti		1		0.05711022272986865%
communiste		1		0.05711022272986865%
déployer		1		0.05711022272986865%
âpre		1		0.05711022272986865%
socialisme		1		0.05711022272986865%
caractéristique		1		0.05711022272986865%
significatif		1		0.05711022272986865%
puissance		1		0.05711022272986865%
manufacturier		1		0.05711022272986865%
catégorie		1		0.05711022272986865%
semi-colonial		1		0.05711022272986865%
victime		1		0.05711022272986865%
invasion		1		0.05711022272986865%
continuel		1		0.05711022272986865%
siéger		1		0.05711022272986865%
maître		1		0.05711022272986865%
destin		1		0.05711022272986865%
condition		1		0.05711022272986865%
améliorer		1		0.05711022272986865%
million		1		0.05711022272986865%
sortir		1		0.05711022272986865%
espérance		1		0.05711022272986865%
bond		1		0.05711022272986865%
historique		1		0.05711022272986865%
permettre		1		0.05711022272986865%
abri		1		0.05711022272986865%
élémentaire		1		0.05711022272986865%
accéder		1		0.05711022272986865%
évaluation		1		0.05711022272986865%
seda		1		0.05711022272986865%
Boston		1		0.05711022272986865%
Consulting		1		0.05711022272986865%
Group		1		0.05711022272986865%
place		1		0.05711022272986865%
classer		1		0.05711022272986865%
tête		1		0.05711022272986865%
analyser		1		0.05711022272986865%
terme		1		0.05711022272986865%
bien-être		1		0.05711022272986865%
direction		1		0.05711022272986865%
